Reactive	O
oxygen	O
intermediate	O
-	O
dependent	O
NF	O
-	O
kappaB	O
activation	O
by	O
interleukin	B-Protein
-	I-Protein
1beta	E-Protein
requires	O
5	B-Protein
-	I-Protein
lipoxygenase	E-Protein
or	O
NADPH	O
oxidase	O
activity	O
.	O

We	O
previously	O
reported	O
that	O
the	O
role	O
of	O
reactive	O
oxygen	O
intermediates	O
(	O
ROIs	O
)	O
in	O
NF	O
-	O
kappaB	O
activation	O
by	O
proinflammatory	O
cytokines	O
was	O
cell	O
specific	O
.	O

However	O
,	O
the	O
sources	O
for	O
ROIs	O
in	O
various	O
cell	O
types	O
are	O
yet	O
to	O
be	O
determined	O
and	O
might	O
include	O
5	B-Protein
-	I-Protein
lipoxygenase	E-Protein
(	O
5	B-Protein
-	I-Protein
LOX	E-Protein
)	O
and	O
NADPH	O
oxidase	O
.	O

5	B-Protein
-	I-Protein
LOX	E-Protein
and	O
5	B-Protein
-	I-Protein
LOX	E-Protein
activating	O
protein	O
(	O
FLAP	S-Protein
)	O
are	O
coexpressed	O
in	O
lymphoid	O
cells	O
but	O
not	O
in	O
monocytic	O
or	O
epithelial	O
cells	O
.	O

Stimulation	O
of	O
lymphoid	O
cells	O
with	O
interleukin	B-Protein
-	I-Protein
1beta	E-Protein
(	O
IL	B-Protein
-	I-Protein
1beta	E-Protein
)	O
led	O
to	O
ROI	O
production	O
and	O
NF	O
-	O
kappaB	O
activation	O
,	O
which	O
could	O
both	O
be	O
blocked	O
by	O
antioxidants	O
or	O
FLAP	S-Protein
inhibitors	O
,	O
confirming	O
that	O
5	B-Protein
-	I-Protein
LOX	E-Protein
was	O
the	O
source	O
of	O
ROIs	O
and	O
was	O
required	O
for	O
NF	O
-	O
kappaB	O
activation	O
in	O
these	O
cells	O
.	O

IL	B-Protein
-	I-Protein
1beta	E-Protein
stimulation	O
of	O
epithelial	O
cells	O
did	O
not	O
generate	O
any	O
ROIs	O
and	O
NF	O
-	O
kappaB	O
induction	O
was	O
not	O
influenced	O
by	O
5	B-Protein
-	I-Protein
LOX	E-Protein
inhibitors	O
.	O

However	O
,	O
reintroduction	O
of	O
a	O
functional	O
5	B-Protein
-	I-Protein
LOX	E-Protein
system	O
in	O
these	O
cells	O
allowed	O
ROI	O
production	O
and	O
5	B-Protein
-	I-Protein
LOX	E-Protein
-	O
dependent	O
NF	O
-	O
kappaB	O
activation	O
.	O

In	O
monocytic	O
cells	O
,	O
IL	B-Protein
-	I-Protein
1beta	E-Protein
treatment	O
led	O
to	O
a	O
production	O
of	O
ROIs	O
which	O
is	O
independent	O
of	O
the	O
5	B-Protein
-	I-Protein
LOX	E-Protein
enzyme	O
but	O
requires	O
the	O
NADPH	O
oxidase	O
activity	O
.	O

This	O
pathway	O
involves	O
the	O
Rac1	S-Protein
and	O
Cdc42	S-Protein
GTPases	O
,	O
two	O
enzymes	O
which	O
are	O
not	O
required	O
for	O
NF	O
-	O
kappaB	O
activation	O
by	O
IL	B-Protein
-	I-Protein
1beta	E-Protein
in	O
epithelial	O
cells	O
.	O

In	O
conclusion	O
,	O
three	O
different	O
cell	O
-	O
specific	O
pathways	O
lead	O
to	O
NF	O
-	O
kappaB	O
activation	O
by	O
IL	B-Protein
-	I-Protein
1beta	E-Protein
:	O
a	O
pathway	O
dependent	O
on	O
ROI	O
production	O
by	O
5	B-Protein
-	I-Protein
LOX	E-Protein
in	O
lymphoid	O
cells	O
,	O
an	O
ROI	O
-	O
and	O
5	B-Protein
-	I-Protein
LOX	E-Protein
-	O
independent	O
pathway	O
in	O
epithelial	O
cells	O
,	O
and	O
a	O
pathway	O
requiring	O
ROI	O
production	O
by	O
NADPH	O
oxidase	O
in	O
monocytic	O
cells	O
.	O

Activation	O
-	O
dependent	O
transcriptional	O
regulation	O
of	O
the	O
human	O
Fas	S-Protein
promoter	O
requires	O
NF	O
-	O
kappaB	O
p50	S-Protein
-	O
p65	S-Protein
recruitment	O
.	O

Fas	S-Protein
(	O
CD95	S-Protein
)	O
and	O
Fas	B-Protein
ligand	E-Protein
(	O
CD95L	S-Protein
)	O
are	O
an	O
interacting	O
receptor	O
-	O
ligand	O
pair	O
required	O
for	O
immune	O
homeostasis	O
.	O

Lymphocyte	O
activation	O
results	O
in	O
the	O
upregulation	O
of	O
Fas	S-Protein
expression	O
and	O
the	O
acquisition	O
of	O
sensitivity	O
to	O
FasL	S-Protein
-	O
mediated	O
apoptosis	O
.	O

Although	O
Fas	S-Protein
upregulation	O
is	O
central	O
to	O
the	O
preservation	O
of	O
immunologic	O
tolerance	O
,	O
little	O
is	O
known	O
about	O
the	O
molecular	O
machinery	O
underlying	O
this	O
process	O
.	O

To	O
investigate	O
the	O
events	O
involved	O
in	O
activation	O
-	O
induced	O
Fas	S-Protein
upregulation	O
,	O
we	O
have	O
examined	O
mRNA	O
accumulation	O
,	O
fas	S-Protein
promoter	O
activity	O
,	O
and	O
protein	O
expression	O
in	O
the	O
Jurkat	O
T	O
-	O
cell	O
line	O
treated	O
with	O
phorbol	O
myristate	O
acetate	O
and	O
ionomycin	O
(	O
P	O
/	O
I	O
)	O
,	O
pharmacological	O
mimics	O
of	O
T	O
-	O
cell	O
receptor	O
activation	O
.	O

Although	O
resting	O
Jurkat	O
cells	O
express	O
Fas	S-Protein
,	O
Fas	S-Protein
mRNA	O
was	O
induced	O
approximately	O
10	O
-	O
fold	O
in	O
2	O
h	O
upon	O
P	O
/	O
I	O
stimulation	O
.	O

Using	O
sequential	O
deletion	O
mutants	O
of	O
the	O
human	O
fas	S-Protein
promoter	O
in	O
transient	O
transfection	O
assays	O
,	O
we	O
identified	O
a	O
47	O
-	O
bp	O
sequence	O
(	O
positions	O
-	O
306	O
to	O
-	O
260	O
relative	O
to	O
the	O
ATG	O
)	O
required	O
for	O
activation	O
-	O
driven	O
fas	S-Protein
upregulation	O
.	O

Sequence	O
analysis	O
revealed	O
the	O
presence	O
of	O
a	O
previously	O
unrecognized	O
composite	O
binding	O
site	O
for	O
both	O
the	O
Sp1	S-Protein
and	O
NF	O
-	O
kappaB	O
transcription	O
factors	O
at	O
positions	O
-	O
295	O
to	O
-	O
286	O
.	O

Electrophoretic	O
mobility	O
shift	O
assay	O
(	O
EMSA	O
)	O
and	O
supershift	O
analyses	O
of	O
this	O
region	O
documented	O
constitutive	O
binding	O
of	O
Sp1	S-Protein
in	O
unactivated	O
nuclear	O
extracts	O
and	O
inducible	O
binding	O
of	O
p50	S-Protein
-	O
p65	S-Protein
NF	O
-	O
kappaB	O
heterodimers	O
after	O
P	O
/	O
I	O
activation	O
.	O

Sp1	S-Protein
and	O
NF	O
-	O
kappaB	O
transcription	O
factor	O
binding	O
was	O
shown	O
to	O
