UFT	B-Simple_chemical
and	O
its	O
metabolites	O
inhibit	O
the	O
angiogenesis	O
induced	O
by	O
murine	B-Organism
renal	B-Cancer
cell	I-Cancer
carcinoma	I-Cancer
,	O
as	O
determined	O
by	O
a	O
dorsal	B-Multi-tissue_structure
air	I-Multi-tissue_structure
sac	I-Multi-tissue_structure
assay	O
in	O
mice	B-Organism
.	O

UFT	B-Simple_chemical
,	O
an	O
anticancer	B-Cancer
agent	O
that	O
is	O
composed	O
of	O
tegafur	B-Simple_chemical
(	O
FT	B-Simple_chemical
)	O
and	O
uracil	B-Simple_chemical
at	O
a	O
molar	O
ratio	O
of	O
1	O
:	O
4	O
,	O
is	O
widely	O
used	O
in	O
clinical	O
practice	O
in	O
Japan	O
to	O
treat	O
cancer	B-Cancer
patients	B-Organism
requiring	O
a	O
long	O
-	O
term	O
chemotherapy	O
,	O
and	O
it	O
is	O
associated	O
with	O
few	O
side	O
effects	O
,	O
if	O
any	O
.	O

In	O
this	O
study	O
,	O
we	O
have	O
evaluated	O
the	O
inhibitory	O
effect	O
of	O
UFT	B-Simple_chemical
against	O
RENCA	B-Cell
cell	I-Cell
-	O
induced	O
angiogenesis	O
by	O
a	O
dorsal	O
air	O
sac	O
assay	O
.	O

Marked	O
angiogenesis	O
is	O
induced	O
by	O
implantation	O
of	O
a	O
chamber	O
containing	O
RENCA	B-Cell
cells	I-Cell
into	O
mice	B-Organism
.	O

In	O
this	O
model	O
,	O
UFT	B-Simple_chemical
showed	O
a	O
strong	O
angiogenesis	O
-	O
inhibitory	O
effect	O
,	O
whereas	O
5	B-Simple_chemical
-	I-Simple_chemical
fluorouracil	I-Simple_chemical
(	O
5	B-Simple_chemical
-	I-Simple_chemical
FU	I-Simple_chemical
)	O
and	O
doxifluridine	B-Simple_chemical
were	O
less	O
effective	O
.	O

Additional	O
experiments	O
revealed	O
FT	B-Simple_chemical
to	O
be	O
effective	O
component	O
of	O
UFT	B-Simple_chemical
;	O
uracil	B-Simple_chemical
remained	O
ineffective	O
in	O
the	O
inhibition	O
of	O
angiogenesis	O
.	O

Moreover	O
,	O
we	O
have	O
found	O
that	O
gamma	B-Simple_chemical
-	I-Simple_chemical
hydroxybutyric	I-Simple_chemical
acid	I-Simple_chemical
and	O
gamma	B-Simple_chemical
-	I-Simple_chemical
butyrolactone	I-Simple_chemical
,	O
the	O
metabolites	O
of	O
FT	B-Simple_chemical
,	O
possess	O
a	O
potent	O
angiogenesis	O
inhibitory	O
effect	O
that	O
is	O
amplified	O
when	O
the	O
compounds	O
are	O
administered	O
by	O
a	O
continuous	O
infusion	O
.	O

This	O
may	O
reflect	O
a	O
transition	O
in	O
blood	B-Organism_substance
concentration	O
of	O
each	O
metabolite	O
resulting	O
from	O
the	O
administration	O
of	O
UFT	B-Simple_chemical
.	O

Similar	O
results	O
were	O
also	O
obtained	O
with	O
respect	O
to	O
5	B-Simple_chemical
-	I-Simple_chemical
FU	I-Simple_chemical
.	O

It	O
was	O
suggested	O
that	O
UFT	B-Simple_chemical
has	O
a	O
stronger	O
angiogenesis	O
-	O
inhibitory	O
