The	O
TGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
beta	I-Gene_or_gene_product
type	I-Gene_or_gene_product
II	I-Gene_or_gene_product
receptor	I-Gene_or_gene_product
in	O
chronic	B-Cancer
myeloid	I-Cancer
leukemia	I-Cancer
:	O
analysis	O
of	O
microsatellite	O
regions	O
and	O
gene	O
expression	O
.	O

Genomic	O
instability	O
is	O
one	O
mechanism	O
proposed	O
to	O
play	O
a	O
role	O
in	O
the	O
disease	O
progression	O
of	O
chronic	B-Cancer
myeloid	I-Cancer
leukemia	I-Cancer
(	O
CML	B-Cancer
)	O
.	O

Microsatellite	O
regions	O
in	O
the	O
type	B-Gene_or_gene_product
II	I-Gene_or_gene_product
transforming	I-Gene_or_gene_product
growth	I-Gene_or_gene_product
factor	I-Gene_or_gene_product
-	I-Gene_or_gene_product
beta	I-Gene_or_gene_product
receptor	I-Gene_or_gene_product
(	O
TGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
beta	I-Gene_or_gene_product
RII	I-Gene_or_gene_product
)	O
gene	O
appear	O
to	O
be	O
targets	O
for	O
mutation	O
in	O
some	O
cancers	B-Cancer
displaying	O
microsatellite	O
instability	O
(	O
replication	O
error	O
phenotype	O
,	O
RER	O
+	O
)	O
.	O

Furthermore	O
,	O
TGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
beta	I-Gene_or_gene_product
RII	I-Gene_or_gene_product
mutations	O
in	O
RER	B-Cancer
+	I-Cancer
tumors	I-Cancer
have	O
been	O
associated	O
with	O
decreased	O
TGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
beta	I-Gene_or_gene_product
RII	I-Gene_or_gene_product
mRNA	O
levels	O
.	O

As	O
TGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
beta	I-Gene_or_gene_product
is	O
a	O
potent	O
negative	O
growth	O
regulator	O
of	O
hematopoietic	B-Cell
cells	I-Cell
,	O
investigations	O
were	O
undertaken	O
to	O
determine	O
whether	O
inactivation	O
of	O
the	O
receptor	O
by	O
microsatellite	O
alteration	O
might	O
be	O
involved	O
in	O
the	O
progression	O
of	O
CML	B-Cancer
.	O

Analysis	O
of	O
TGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
beta	I-Gene_or_gene_product
RII	I-Gene_or_gene_product
mRNA	O
expression	O
by	O
RNase	B-Gene_or_gene_product
protection	O
,	O
with	O
comparison	O
of	O
cells	B-Cell
from	O
the	O
chronic	O
,	O
accelerated	O
and	O
blast	O
phases	O
of	O
CML	B-Cancer
,	O
showed	O
no	O
change	O
in	O
TGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
beta	I-Gene_or_gene_product
RII	I-Gene_or_gene_product
transcript	O
levels	O
during	O
disease	O
progression	O
.	O

However	O
,	O
during	O
each	O
phase	O
of	O
the	O
disease	O
,	O
low	O
levels	O
of	O
TGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
beta	I-Gene_or_gene_product
RII	I-Gene_or_gene_product
were	O
detected	O
when	O
compared	O
with	O
the	O
hematopoietic	B-Cell
cells	I-Cell
of	O
normal	O
donors	B-Organism
