UFT	S-Simple_chemical
and	O
its	O
metabolites	O
inhibit	O
the	O
angiogenesis	O
induced	O
by	O
murine	S-Organism
renal	B-Cancer
cell	I-Cancer
carcinoma	E-Cancer
,	O
as	O
determined	O
by	O
a	O
dorsal	B-Multi-tissue_structure
air	I-Multi-tissue_structure
sac	E-Multi-tissue_structure
assay	O
in	O
mice	S-Organism
.	O

UFT	S-Simple_chemical
,	O
an	O
anticancer	S-Cancer
agent	O
that	O
is	O
composed	O
of	O
tegafur	S-Simple_chemical
(	O
FT	S-Simple_chemical
)	O
and	O
uracil	S-Simple_chemical
at	O
a	O
molar	O
ratio	O
of	O
1	O
:	O
4	O
,	O
is	O
widely	O
used	O
in	O
clinical	O
practice	O
in	O
Japan	O
to	O
treat	O
cancer	S-Cancer
patients	S-Organism
requiring	O
a	O
long	O
-	O
term	O
chemotherapy	O
,	O
and	O
it	O
is	O
associated	O
with	O
few	O
side	O
effects	O
,	O
if	O
any	O
.	O

In	O
this	O
study	O
,	O
we	O
have	O
evaluated	O
the	O
inhibitory	O
effect	O
of	O
UFT	S-Simple_chemical
against	O
RENCA	B-Cell
cell	E-Cell
-	O
induced	O
angiogenesis	O
by	O
a	O
dorsal	O
air	O
sac	O
assay	O
.	O

Marked	O
angiogenesis	O
is	O
induced	O
by	O
implantation	O
of	O
a	O
chamber	O
containing	O
RENCA	B-Cell
cells	E-Cell
into	O
mice	S-Organism
.	O

In	O
this	O
model	O
,	O
UFT	S-Simple_chemical
showed	O
a	O
strong	O
angiogenesis	O
-	O
inhibitory	O
effect	O
,	O
whereas	O
5	B-Simple_chemical
-	I-Simple_chemical
fluorouracil	E-Simple_chemical
(	O
5	B-Simple_chemical
-	I-Simple_chemical
FU	E-Simple_chemical
)	O
and	O
doxifluridine	S-Simple_chemical
were	O
less	O
effective	O
.	O

Additional	O
experiments	O
revealed	O
FT	S-Simple_chemical
to	O
be	O
effective	O
component	O
of	O
UFT	S-Simple_chemical
;	O
uracil	S-Simple_chemical
remained	O
ineffective	O
in	O
the	O
inhibition	O
of	O
angiogenesis	O
.	O

Moreover	O
,	O
we	O
have	O
found	O
that	O
gamma	B-Simple_chemical
-	I-Simple_chemical
hydroxybutyric	I-Simple_chemical
acid	E-Simple_chemical
and	O
gamma	B-Simple_chemical
-	I-Simple_chemical
butyrolactone	E-Simple_chemical
,	O
the	O
metabolites	O
of	O
FT	S-Simple_chemical
,	O
possess	O
a	O
potent	O
angiogenesis	O
inhibitory	O
effect	O
that	O
is	O
amplified	O
when	O
the	O
compounds	O
are	O
administered	O
by	O
a	O
continuous	O
infusion	O
.	O

This	O
may	O
reflect	O
a	O
transition	O
in	O
blood	S-Organism_substance
concentration	O
of	O
each	O
metabolite	O
resulting	O
from	O
the	O
administration	O
of	O
UFT	S-Simple_chemical
.	O

Similar	O
results	O
were	O
also	O
obtained	O
with	O
respect	O
to	O
5	B-Simple_chemical
-	I-Simple_chemical
FU	E-Simple_chemical
.	O

It	O
was	O
suggested	O
that	O
UFT	S-Simple_chemical
has	O
a	O
stronger	O
angiogenesis	O
-	O
inhibitory	O
effect	O
than	O
did	O
other	O
fluorinated	B-Simple_chemical
pyrimidines	E-Simple_chemical
,	O
partly	O
due	O
to	O
its	O
pharmacokinetic	O
properties	O
characterized	O
by	O
maintaining	O
of	O
higher	O
and	O
long	O
-	O
lasting	O
blood	S-Organism_substance
levels	O
of	O
5	B-Simple_chemical
-	I-Simple_chemical
FU	E-Simple_chemical
and	O
partly	O
due	O
the	O
inhibitory	O
effects	O
derived	O
from	O
gamma	B-Simple_chemical
-	I-Simple_chemical
hydroxybutyric	I-Simple_chemical
acid	E-Simple_chemical
and	O
gamma	B-Simple_chemical
-	I-Simple_chemical
butyrolactone	E-Simple_chemical
,	O
UFT	S-Simple_chemical
-	O
specific	O
metabolites	O
.	O

Nitric	B-Gene_or_gene_product
oxide	I-Gene_or_gene_product
synthase	E-Gene_or_gene_product
inhibition	O
results	O
in	O
synergistic	O
anti	O
-	O
tumour	S-Cancer
activity	O
with	O
melphalan	S-Simple_chemical
and	O
tumour	B-Gene_or_gene_product
necrosis	I-Gene_or_gene_product
factor	I-Gene_or_gene_product
alpha	E-Gene_or_gene_product
-	O
based	O
isolated	O
limb	S-Organism_subdivision
perfusions	O
.	O

Nitric	B-Simple_chemical
oxide	E-Simple_chemical
(	O
NO	S-Simple_chemical
)	O
is	O
an	O
important	O
molecule	O
in	O
regulating	O
tumour	S-Cancer
blood	S-Organism_substance
flow	O
and	O
stimulating	O
tumour	S-Cancer
angiogenesis	O
.	O

Inhibition	O
of	O
NO	B-Gene_or_gene_product
synthase	E-Gene_or_gene_product
by	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
might	O
induce	O
an	O
anti	O
-	O
tumour	S-Cancer
effect	O
by	O
limiting	O
nutrients	O
and	O
oxygen	S-Simple_chemical
to	O
reach	O
tumour	B-Tissue
tissue	E-Tissue
or	O
affecting	O
vascular	S-Multi-tissue_structure
growth	O
.	O

The	O
anti	O
-	O
tumour	S-Cancer
effect	O
of	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
after	O
systemic	O
administration	O
was	O
studied	O
in	O
a	O
renal	B-Cancer
subcapsular	I-Cancer
CC531	I-Cancer
adenocarcinoma	E-Cancer
model	O
in	O
rats	S-Organism
.	O

Moreover	O
,	O
regional	O
administration	O
of	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
,	O
in	O
combination	O
with	O
TNF	S-Gene_or_gene_product
and	O
melphalan	S-Simple_chemical
,	O
was	O
studied	O
in	O
an	O
isolated	O
limb	S-Organism_subdivision
perfusion	O
(	O
ILP	O
)	O
model	O
using	O
BN175	B-Cancer
soft	I-Cancer
-	I-Cancer
tissue	I-Cancer
sarcomas	E-Cancer
.	O

Systemic	O
treatment	O
with	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
inhibited	O
growth	O
of	O
adenocarcinoma	S-Cancer
significantly	O
but	O
was	O
accompanied	O
by	O
impaired	O
renal	S-Organ
function	O
.	O

In	O
ILP	O
,	O
reduced	O
tumour	S-Cancer
growth	O
was	O
observed	O
when	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
was	O
used	O
alone	O
.	O

In	O
combination	O
with	O
TNF	S-Gene_or_gene_product
or	O
melphalan	S-Simple_chemical
,	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
increased	O
response	O
rates	O
significantly	O
compared	O
to	O
perfusions	O
without	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
(	O
0	O
-	O
64	O
%	O
and	O
0	O
-	O
63	O
%	O
respectively	O
)	O
.	O

An	O
additional	O
anti	O
-	O
tumour	S-Cancer
effect	O
was	O
demonstrated	O
when	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
was	O
added	O
to	O
the	O
synergistic	O
combination	O
of	O
melphalan	S-Simple_chemical
and	O
TNF	S-Gene_or_gene_product
(	O
responses	O
increased	O
from	O
70	O
to	O
100	O
%	O
)	O
.	O

Inhibition	O
of	O
NO	B-Gene_or_gene_product
synthase	E-Gene_or_gene_product
reduces	O
tumour	S-Cancer
growth	O
both	O
after	O
systemic	O
and	O
regional	O
(	O
ILP	O
)	O
treatment	O
.	O

A	O
synergistic	O
anti	O
-	O
tumour	S-Cancer
effect	O
of	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
is	O
observed	O
in	O
combination	O
with	O
melphalan	S-Simple_chemical
and	O
/	O
or	O
TNF	S-Gene_or_gene_product
using	O
ILP	O
.	O

These	O
results	O
indicate	O
a	O
possible	O
role	O
of	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
for	O
the	O
treatment	O
of	O
solid	O
tumours	S-Cancer
in	O
a	O
systemic	O
or	O
regional	O
setting	O
.	O

Apoptosis	O
induced	O
by	O
1	B-Simple_chemical
'	I-Simple_chemical
-	I-Simple_chemical
acetoxychavicol	I-Simple_chemical
acetate	E-Simple_chemical
in	O
Ehrlich	B-Cell
ascites	I-Cell
tumor	I-Cell
cells	E-Cell
is	O
associated	O
with	O
modulation	O
of	O
polyamine	O
metabolism	O
and	O
caspase	B-Gene_or_gene_product
-	I-Gene_or_gene_product
3	E-Gene_or_gene_product
activation	O
.	O

The	O
efficacy	O
of	O
the	O
antitumor	S-Cancer
activity	O
of	O
1	B-Simple_chemical
'	I-Simple_chemical
-	I-Simple_chemical
acetoxychavicol	I-Simple_chemical
acetate	E-Simple_chemical
(	O
ACA	S-Simple_chemical
)	O
,	O
reported	O
to	O
be	O
a	O
suppressor	O
of	O
chemically	O
induced	O
carcinogenesis	O
,	O
was	O
evaluated	O
in	O
Ehrlich	B-Cell
ascites	I-Cell
tumor	I-Cell
cells	E-Cell
.	O

ACA	S-Simple_chemical
treatment	O
resulted	O
in	O
changes	O
in	O
morphology	O
and	O
a	O
dose	O
-	O
dependent	O
suppression	O
of	O
cell	S-Cell
viability	O
.	O

Apoptosis	O
,	O
characterized	O
by	O
nuclear	S-Cellular_component
condensation	O
,	O
membrane	S-Cellular_component
blebbing	O
,	O
cell	S-Cell
shrinkage	O
and	O
a	O
significant	O
induction	O
of	O
caspase	B-Gene_or_gene_product
-	I-Gene_or_gene_product
3	I-Gene_or_gene_product
-	I-Gene_or_gene_product
like	I-Gene_or_gene_product
protease	E-Gene_or_gene_product
activity	O
at	O
8	O
h	O
in	O
a	O
time	O
-	O
course	O
study	O
were	O
observed	O
.	O

Formation	O
of	O
apoptotic	B-Cellular_component
bodies	E-Cellular_component
was	O
preceded	O
by	O
lowering	O
of	O
intracellular	S-Immaterial_anatomical_entity
polyamines	O
,	O
particularly	O
putrescine	S-Simple_chemical
,	O
and	O
both	O
dose	O
-	O
and	O
time	O
-	O
dependent	O
inhibitory	O
and	O
activation	O
effect	O
by	O
ACA	S-Simple_chemical
on	O
ornithine	B-Gene_or_gene_product
decarboxylase	E-Gene_or_gene_product
(	O
ODC	S-Gene_or_gene_product
)	O
and	O
spermidine	B-Gene_or_gene_product
/	I-Gene_or_gene_product
spermine	I-Gene_or_gene_product
N	I-Gene_or_gene_product
(	I-Gene_or_gene_product
1	I-Gene_or_gene_product
)	I-Gene_or_gene_product
-	I-Gene_or_gene_product
acetyltransferase	E-Gene_or_gene_product
(	O
SSAT	S-Gene_or_gene_product
)	O
,	O
respectively	O
.	O

Administration	O
of	O
exogenous	O
polyamines	O
prevented	O
ACA	S-Simple_chemical
-	O
induced	O
apoptosis	O
represented	O
by	O
a	O
reduction	O
in	O
the	O
number	O
of	O
apoptotic	B-Cellular_component
bodies	E-Cellular_component
and	O
also	O
caused	O
reduction	O
in	O
the	O
induced	O
caspase	B-Gene_or_gene_product
-	I-Gene_or_gene_product
3	I-Gene_or_gene_product
-	I-Gene_or_gene_product
like	I-Gene_or_gene_product
protease	E-Gene_or_gene_product
activity	O
at	O
8	O
h	O
.	O

These	O
findings	O
suggest	O
that	O
the	O
anticarcinogenic	O
effects	O
of	O
ACA	S-Simple_chemical
might	O
be	O
partly	O
due	O
to	O
perturbation	O
of	O
the	O
polyamine	O
metabolic	O
pathway	O
and	O
triggering	O
of	O
caspase	B-Gene_or_gene_product
-	I-Gene_or_gene_product
3	I-Gene_or_gene_product
-	I-Gene_or_gene_product
like	E-Gene_or_gene_product
activity	O
,	O
which	O
result	O
in	O
apoptosis	O
.	O

Vascular	B-Gene_or_gene_product
endothelial	I-Gene_or_gene_product
growth	I-Gene_or_gene_product
factor	I-Gene_or_gene_product
-	I-Gene_or_gene_product
B	E-Gene_or_gene_product
and	O
vascular	B-Gene_or_gene_product
endothelial	I-Gene_or_gene_product
growth	I-Gene_or_gene_product
factor	I-Gene_or_gene_product
-	I-Gene_or_gene_product
C	E-Gene_or_gene_product
expression	O
in	O
renal	B-Cancer
cell	I-Cancer
carcinomas	E-Cancer
:	O
regulation	O
by	O
the	O
von	B-Gene_or_gene_product
Hippel	I-Gene_or_gene_product
-	I-Gene_or_gene_product
Lindau	E-Gene_or_gene_product
gene	O
and	O
hypoxia	O
.	O

Angiogenesis	O
is	O
essential	O
for	O
tumor	S-Cancer
growth	O
and	O
metastasis	O
.	O

It	O
is	O
regulated	O
by	O
numerous	O
angiogenic	O
factors	O
,	O
one	O
of	O
the	O
most	O
important	O
being	O
vascular	B-Gene_or_gene_product
endothelial	I-Gene_or_gene_product
growth	I-Gene_or_gene_product
factor	E-Gene_or_gene_product
(	O
VEGF	S-Gene_or_gene_product
)	O
.	O

Recently	O
VEGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
B	E-Gene_or_gene_product
and	O
VEGF	B-Gene_or_gene_product
-	I-Gene_or_gene_product
C	E-Gene_or_gene_product
,	O
two	O
new	O
VEGF	S-Gene_or_gene_product
family	O
members	O
,	O
have	O
been	O
identified	O
