UFT	S-Simple_chemical
and	O
its	O
metabolites	O
inhibit	O
the	O
angiogenesis	O
induced	O
by	O
murine	O
renal	O
cell	O
carcinoma	O
,	O
as	O
determined	O
by	O
a	O
dorsal	O
air	O
sac	O
assay	O
in	O
mice	O
.	O

UFT	S-Simple_chemical
,	O
an	O
anticancer	O
agent	O
that	O
is	O
composed	O
of	O
tegafur	S-Simple_chemical
(	O
FT	S-Simple_chemical
)	O
and	O
uracil	S-Simple_chemical
at	O
a	O
molar	O
ratio	O
of	O
1	O
:	O
4	O
,	O
is	O
widely	O
used	O
in	O
clinical	O
practice	O
in	O
Japan	O
to	O
treat	O
cancer	O
patients	O
requiring	O
a	O
long	O
-	O
term	O
chemotherapy	O
,	O
and	O
it	O
is	O
associated	O
with	O
few	O
side	O
effects	O
,	O
if	O
any	O
.	O

In	O
this	O
study	O
,	O
we	O
have	O
evaluated	O
the	O
inhibitory	O
effect	O
of	O
UFT	S-Simple_chemical
against	O
RENCA	O
cell	O
-	O
induced	O
angiogenesis	O
by	O
a	O
dorsal	O
air	O
sac	O
assay	O
.	O

Marked	O
angiogenesis	O
is	O
induced	O
by	O
implantation	O
of	O
a	O
chamber	O
containing	O
RENCA	O
cells	O
into	O
mice	O
.	O

In	O
this	O
model	O
,	O
UFT	S-Simple_chemical
showed	O
a	O
strong	O
angiogenesis	O
-	O
inhibitory	O
effect	O
,	O
whereas	O
5	B-Simple_chemical
-	I-Simple_chemical
fluorouracil	E-Simple_chemical
(	O
5	B-Simple_chemical
-	I-Simple_chemical
FU	E-Simple_chemical
)	O
and	O
doxifluridine	S-Simple_chemical
were	O
less	O
effective	O
.	O

Additional	O
experiments	O
revealed	O
FT	S-Simple_chemical
to	O
be	O
effective	O
component	O
of	O
UFT	S-Simple_chemical
;	O
uracil	S-Simple_chemical
remained	O
ineffective	O
in	O
the	O
inhibition	O
of	O
angiogenesis	O
.	O

Moreover	O
,	O
we	O
have	O
found	O
that	O
gamma	B-Simple_chemical
-	I-Simple_chemical
hydroxybutyric	I-Simple_chemical
acid	E-Simple_chemical
and	O
gamma	B-Simple_chemical
-	I-Simple_chemical
butyrolactone	E-Simple_chemical
,	O
the	O
metabolites	O
of	O
FT	S-Simple_chemical
,	O
possess	O
a	O
potent	O
angiogenesis	O
inhibitory	O
effect	O
that	O
is	O
amplified	O
when	O
the	O
compounds	O
are	O
administered	O
by	O
a	O
continuous	O
infusion	O
.	O

This	O
may	O
reflect	O
a	O
transition	O
in	O
blood	O
concentration	O
of	O
each	O
metabolite	O
resulting	O
from	O
the	O
administration	O
of	O
UFT	S-Simple_chemical
.	O

Similar	O
results	O
were	O
also	O
obtained	O
with	O
respect	O
to	O
5	B-Simple_chemical
-	I-Simple_chemical
FU	E-Simple_chemical
.	O

It	O
was	O
suggested	O
that	O
UFT	S-Simple_chemical
has	O
a	O
stronger	O
angiogenesis	O
-	O
inhibitory	O
effect	O
than	O
did	O
other	O
fluorinated	B-Simple_chemical
pyrimidines	E-Simple_chemical
,	O
partly	O
due	O
to	O
its	O
pharmacokinetic	O
properties	O
characterized	O
by	O
maintaining	O
of	O
higher	O
and	O
long	O
-	O
lasting	O
blood	O
levels	O
of	O
5	B-Simple_chemical
-	I-Simple_chemical
FU	E-Simple_chemical
and	O
partly	O
due	O
the	O
inhibitory	O
effects	O
derived	O
from	O
gamma	B-Simple_chemical
-	I-Simple_chemical
hydroxybutyric	I-Simple_chemical
acid	E-Simple_chemical
and	O
gamma	B-Simple_chemical
-	I-Simple_chemical
butyrolactone	E-Simple_chemical
,	O
UFT	S-Simple_chemical
-	O
specific	O
metabolites	O
.	O

Nitric	O
oxide	O
synthase	O
inhibition	O
results	O
in	O
synergistic	O
anti	O
-	O
tumour	O
activity	O
with	O
melphalan	S-Simple_chemical
and	O
tumour	O
necrosis	O
factor	O
alpha	O
-	O
based	O
isolated	O
limb	O
perfusions	O
.	O

Nitric	B-Simple_chemical
oxide	E-Simple_chemical
(	O
NO	S-Simple_chemical
)	O
is	O
an	O
important	O
molecule	O
in	O
regulating	O
tumour	O
blood	O
flow	O
and	O
stimulating	O
tumour	O
angiogenesis	O
.	O

Inhibition	O
of	O
NO	O
synthase	O
by	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
might	O
induce	O
an	O
anti	O
-	O
tumour	O
effect	O
by	O
limiting	O
nutrients	O
and	O
oxygen	S-Simple_chemical
to	O
reach	O
tumour	O
tissue	O
or	O
affecting	O
vascular	O
growth	O
.	O

The	O
anti	O
-	O
tumour	O
effect	O
of	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
after	O
systemic	O
administration	O
was	O
studied	O
in	O
a	O
renal	O
subcapsular	O
CC531	O
adenocarcinoma	O
model	O
in	O
rats	O
.	O

Moreover	O
,	O
regional	O
administration	O
of	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
,	O
in	O
combination	O
with	O
TNF	O
and	O
melphalan	S-Simple_chemical
,	O
was	O
studied	O
in	O
an	O
isolated	O
limb	O
perfusion	O
(	O
ILP	O
)	O
model	O
using	O
BN175	O
soft	O
-	O
tissue	O
sarcomas	O
.	O

Systemic	O
treatment	O
with	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
inhibited	O
growth	O
of	O
adenocarcinoma	O
significantly	O
but	O
was	O
accompanied	O
by	O
impaired	O
renal	O
function	O
.	O

In	O
ILP	O
,	O
reduced	O
tumour	O
growth	O
was	O
observed	O
when	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
was	O
used	O
alone	O
.	O

In	O
combination	O
with	O
TNF	O
or	O
melphalan	S-Simple_chemical
,	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
increased	O
response	O
rates	O
significantly	O
compared	O
to	O
perfusions	O
without	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
(	O
0	O
-	O
64	O
%	O
and	O
0	O
-	O
63	O
%	O
respectively	O
)	O
.	O

An	O
additional	O
anti	O
-	O
tumour	O
effect	O
was	O
demonstrated	O
when	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
was	O
added	O
to	O
the	O
synergistic	O
combination	O
of	O
melphalan	S-Simple_chemical
and	O
TNF	O
(	O
responses	O
increased	O
from	O
70	O
to	O
100	O
%	O
)	O
.	O

Inhibition	O
of	O
NO	O
synthase	O
reduces	O
tumour	O
growth	O
both	O
after	O
systemic	O
and	O
regional	O
(	O
ILP	O
)	O
treatment	O
.	O

A	O
synergistic	O
anti	O
-	O
tumour	O
effect	O
of	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
is	O
observed	O
in	O
combination	O
with	O
melphalan	S-Simple_chemical
and	O
/	O
or	O
TNF	O
using	O
ILP	O
.	O

These	O
results	O
indicate	O
a	O
possible	O
role	O
of	O
L	B-Simple_chemical
-	I-Simple_chemical
NAME	E-Simple_chemical
for	O
the	O
treatment	O
of	O
solid	O
tumours	O
in	O
a	O
systemic	O
or	O
regional	O
setting	O
.	O

Apoptosis	O
induced	O
by	O
1	B-Simple_chemical
'	I-Simple_chemical
-	I-Simple_chemical
acetoxychavicol	I-Simple_chemical
acetate	E-Simple_chemical
in	O
Ehrlich	O
ascites	O
tumor	O
cells	O
is	O
associated	O
with	O
modulation	O
of	O
polyamine	O
metabolism	O
and	O
caspase	O
-	O
3	O
activation	O
.	O

The	O
efficacy	O
of	O
the	O
antitumor	O
activity	O
of	O
1	B-Simple_chemical
'	I-Simple_chemical
-	I-Simple_chemical
acetoxychavicol	I-Simple_chemical
acetate	E-Simple_chemical
(	O
ACA	S-Simple_chemical
)	O
,	O
reported	O
to	O
be	O
a	O
suppressor	O
of	O
chemically	O
induced	O
carcinogenesis	O
,	O
was	O
evaluated	O
in	O
Ehrlich	O
ascites	O
tumor	O
cells	O
.	O

ACA	S-Simple_chemical
treatment	O
resulted	O
in	O
changes	O
in	O
morphology	O
and	O
a	O
dose	O
-	O
dependent	O
suppression	O
of	O
cell	O
viability	O
.	O

Apoptosis	O
,	O
characterized	O
by	O
nuclear	O
condensation	O
,	O
membrane	O
blebbing	O
,	O
cell	O
shrinkage	O
and	O
a	O
significant	O
induction	O
of	O
caspase	O
-	O
3	O
-	O
like	O
protease	O
activity	O
at	O
8	O
h	O
in	O
a	O
time	O
-	O
course	O
study	O
were	O
observed	O
.	O

Formation	O
of	O
apoptotic	O
bodies	O
was	O
preceded	O
by	O
lowering	O
of	O
intracellular	O
polyamines	O
,	O
particularly	O
putrescine	S-Simple_chemical
,	O
and	O
both	O
dose	O
-	O
and	O
time	O
-	O
dependent	O
inhibitory	O
and	O
activation	O
effect	O
by	O
ACA	S-Simple_chemical
on	O
ornithine	O
decarboxylase	O
(	O
ODC	O
)	O
and	O
spermidine	O
/	O
spermine	O
N	O
(	O
1	O
)	O
-	O
acetyltransferase	O
(	O
SSAT	O
)	O
,	O
respectively	O
.	O

Administration	O
of	O
exogenous	O
polyamines	O
prevented	O
ACA	S-Simple_chemical
-	O
induced	O
apoptosis	O
represented	O
by	O
a	O
reduction	O
in	O
the	O
number	O
of	O
apoptotic	O
bodies	O
and	O
also	O
caused	O
reduction	O
in	O
the	O
induced	O
caspase	O
-	O
3	O
-	O
like	O
protease	O
activity	O
at	O
8	O
h	O
.	O

These	O
findings	O
suggest	O
that	O
the	O
anticarcinogenic	O
effects	O
of	O
ACA	S-Simple_chemical
might	O
be	O
partly	O
due	O
to	O
perturbation	O
of	O
the	O
polyamine	O
metabolic	O
pathway	O
and	O
triggering	O
of	O
caspase	O
-	O
3	O
-	O
like	O
activity	O
,	O
which	O
result	O
in	O
apoptosis	O
.	O

Vascular	O
endothelial	O
growth	O
factor	O
-	O
B	O
and	O
vascular	O
endothelial	O
growth	O
factor	O
-	O
C	O
expression	O
in	O
renal	O
cell	O
carcinomas	O
:	O
regulation	O
by	O
the	O
von	O
Hippel	O
-	O
Lindau	O
gene	O
and	O
hypoxia	O
.	O

Angiogenesis	O
is	O
essential	O
for	O
tumor	O
growth	O
and	O
metastasis	O
.	O

It	O
is	O
regulated	O
by	O
numerous	O
angiogenic	O
factors	O
,	O
one	O
of	O
the	O
most	O
important	O
being	O
vascular	O
endothelial	O
growth	O
factor	O
(	O
VEGF	O
)	O
.	O

Recently	O
VEGF	O
-	O
B	O
and	O
VEGF	O
-	O
C	O
,	O
two	O
new	O
VEGF	O
family	O
members	O
,	O
have	O
been	O
identified	O
that	O
bind	O
to	O
the	O
tyrosine	O
kinase	O
receptors	O
flt	O
-	O
1	O
(	O
VEGFR1	O
)	O
,	O
KDR	O
(	O
VEGFR2	O
)	O
,	O
and	O
flt	O
-	O
4	O
(	O
VEGFR3	O
)	O
.	O

Although	O
the	O
importance	O
of	O
VEGF	O
-	O
A	O
has	O
been	O
shown	O
in	O
renal	O
carcinomas	O
,	O
the	O
contribution	O
of	O
these	O
new	O
ligands	O
in	O
kidney	O
tumors	O
is	O
not	O
clear	O
.	O

We	O
have	O
,	O
therefore	O
,	O
measured	O
the	O
mRNA	O
level	O
of	O
VEGF	O
-	O
B	O
and	O
VEGF	O
-	O
C	O
together	O
with	O
their	O
receptors	O
by	O
RNase	O
protection	O
assay	O
(	O
RPA	O
)	O
in	O
26	O
normal	O
kidney	O
samples	O
and	O
45	O
renal	O
cell	O
cancers	O
.	O

We	O
observed	O
a	O
significant	O
up	O
-	O
regulation	O
of	O
VEGF	O
-	O
B	O
(	O
P	O
=	O
0	O
.	O
002	O
)	O
but	O
not	O
VEGF	O
-	O
C	O
(	O
P	O
=	O
0	O
.	O
3	O
)	O
in	O
neoplastic	O
kidney	O
compared	O
with	O
normal	O
tissues	O
.	O

In	O
addition	O
,	O
although	O
VEGF	O
receptors	O
were	O
higher	O
in	O
tumors	O
than	O
normal	O
kidney	O
,	O
there	O
was	O
a	O
significant	O
up	O
-	O
regulation	O
of	O
only	O
flt	O
-	O
1	O
(	O
P	O
=	O
0	O
.	O
003	O
)	O
but	O
not	O
KDR	O
(	O
P	O
=	O
0	O
.	O
12	O
)	O
or	O
flt	O
-	O
4	O
(	O
P	O
=	O
0	O
.	O
09	O
)	O
.	O

There	O
was	O
also	O
a	O
significant	O
correlation	O
between	O
VEGF	O
-	O
C	O
and	O
both	O
of	O
its	O
receptors	O
flt	O
-	O
4	O
(	O
P	O
=	O
0	O
.	O
006	O
)	O
and	O
KDR	O
(	O
P	O
=	O
0	O
.	O
03	O
)	O
but	O
no	O
association	O
between	O
VEGF	O
-	O
B	O
and	O
its	O
receptor	O
flt	O
-	O
1	O
(	O
P	O
=	O
0	O
.	O
23	O
)	O
.	O

A	O
significant	O
increase	O
was	O
observed	O
in	O
flt	O
-	O
1	O
(	O
P	O
less	O
than	O
0	O
.	O
001	O
)	O
,	O
KDR	O
(	O
P	O
=	O
0	O
.	O
02	O
)	O
,	O
