The	O
surface	O
ectoderm	O
is	O
essential	O
for	O
nephric	O
duct	O
formation	O
in	O
intermediate	O
mesoderm	O
.	O

The	O
nephric	O
duct	O
is	O
the	O
first	O
epithelial	O
tubule	O
to	O
differentiate	O
from	O
intermediate	O
mesoderm	O
that	O
is	O
essential	O
for	O
all	O
further	O
urogenital	O
development	O
.	O

In	O
this	O
study	O
we	O
identify	O
the	O
domain	O
of	O
intermediate	O
mesoderm	O
that	O
gives	O
rise	O
to	O
the	O
nephric	O
duct	O
and	O
demonstrate	O
that	O
the	O
surface	O
ectoderm	O
is	O
required	O
for	O
its	O
differentiation	O
.	O

Removal	O
of	O
the	O
surface	O
ectoderm	O
resulted	O
in	O
decreased	O
levels	O
of	O
Sim	B-Gene_or_gene_product
-	I-Gene_or_gene_product
1	I-Gene_or_gene_product
and	O
Pax	B-Gene_or_gene_product
-	I-Gene_or_gene_product
2	I-Gene_or_gene_product
mRNA	O
expression	O
in	O
mesenchymal	O
nephric	O
duct	O
progenitors	O
,	O
and	O
caused	O
inhibition	O
of	O
nephric	O
duct	O
formation	O
and	O
subsequent	O
kidney	O
development	O
.	O

The	O
surface	O
ectoderm	O
expresses	O
BMP	B-Gene_or_gene_product
-	I-Gene_or_gene_product
4	I-Gene_or_gene_product
and	O
we	O
show	O
that	O
it	O
is	O
required	O
for	O
the	O
maintenance	O
of	O
high	O
-	O
level	O
BMP	B-Gene_or_gene_product
-	I-Gene_or_gene_product
4	I-Gene_or_gene_product
expression	O
in	O
lateral	O
plate	O
mesoderm	O
.	O

Addition	O
of	O
a	O
BMP	B-Gene_or_gene_product
-	I-Gene_or_gene_product
4	I-Gene_or_gene_product
-	O
coated	O
bead	O
to	O
embryos	O
lacking	O
the	O
surface	O
ectoderm	O
restored	O
normal	O
levels	O
of	O
Sim	B-Gene_or_gene_product
-	I-Gene_or_gene_product
1	I-Gene_or_gene_product
and	O
Pax	B-Gene_or_gene_product
-	I-Gene_or_gene_product
2	I-Gene_or_gene_product
mRNA	O
expression	O
in	O
nephric	O
duct	O
progenitors	O
,	O
nephric	O
duct	O
formation	O
and	O
the	O
initiation	O
of	O
nephrogenesis	O
.	O

Thus	O
,	O
BMP	B-Gene_or_gene_product
-	I-Gene_or_gene_product
4	I-Gene_or_gene_product
signaling	O
can	O
substitute	O
for	O
the	O
surface	O
ectoderm	O
in	O
supporting	O
nephric	O
duct	O
morphogenesis	O
.	O

Collectively	O
,	O
these	O
data	O
suggest	O
that	O
inductive	O
interactions	O
between	O
the	O
surface	O
ectoderm	O
,	O
lateral	O
mesoderm	O
and	O
intermediate	O
mesoderm	O
are	O
essential	O
for	O
nephric	O
duct	O
formation	O
and	O
the	O
initiation	O
of	O
urogenital	O
development	O
.	O

Identification	O
of	O
APC2	B-Gene_or_gene_product
,	O
a	O
homologue	O
of	O
the	O
adenomatous	B-Gene_or_gene_product
polyposis	I-Gene_or_gene_product
coli	I-Gene_or_gene_product
tumour	I-Gene_or_gene_product
suppressor	I-Gene_or_gene_product
.	O

The	O
adenomatous	B-Gene_or_gene_product
polyposis	I-Gene_or_gene_product
coli	I-Gene_or_gene_product
(	I-Gene_or_gene_product
APC	I-Gene_or_gene_product
)	I-Gene_or_gene_product
tumour	I-Gene_or_gene_product
-	I-Gene_or_gene_product
suppressor	I-Gene_or_gene_product
protein	I-Gene_or_gene_product
controls	O
the	O
Wnt	B-Gene_or_gene_product
signalling	O
pathway	O
by	O
forming	O
a	O
complex	O
with	O
glycogen	O
synthase	O
kinase	O
3beta	O
(	O
GSK	O
-	O
3beta	O
)	O
,	O
axin	B-Gene_or_gene_product
/	I-Gene_or_gene_product
conductin	I-Gene_or_gene_product
and	O
betacatenin	B-Gene_or_gene_product
.	O

Complex	O
formation	O
induces	O
the	O
rapid	O
degradation	O
of	O
betacatenin	B-Gene_or_gene_product
.	O

In	O
colon	O
carcinoma	O
cells	O
,	O
loss	O
of	O
APC	B-Gene_or_gene_product
leads	O
to	O
the	O
accumulation	O
of	O
betacatenin	B-Gene_or_gene_product
in	O
the	O
nucleus	O
,	O
where	O
it	O
binds	O
to	O
and	O
activates	O
the	O
Tcf	O
-	O
4	O
transcription	O
factor	O
(	O
reviewed	O
in	O
[	O
1	O
]	O
[	O
2	O
]	O
)	O
.	O

Here	O
,	O
we	O
report	O
the	O
identification	O
and	O
genomic	O
structure	O
