UI	LS
-	:
95333264	CD

TI	LS
-	:
The	DT
peri-kappa	NN
B	NN
site	NN
mediates	VBZ
human	JJ
immunodeficiency	NN
virus	NN
type	NN
2	CD
enhancer	NN
activation	NN
in	IN
monocytes	NNS
but	CC
not	RB
in	IN
T	NN
cells	NNS
.	.

AB	LS
-	:
Human	JJ
immunodeficiency	NN
virus	NN
type	NN
2	CD
(	(
HIV-2	NN
)	)
,	,
like	IN
HIV-1	NN
,	,
causes	VBZ
AIDS	NN
and	CC
is	VBZ
associated	VBN
with	IN
AIDS	NN
cases	NNS
primarily	RB
in	IN
West	NNP
Africa	NNP
.	.

HIV-1	NN
and	CC
HIV-2	NN
display	VBP
significant	JJ
differences	NNS
in	IN
nucleic	JJ
acid	NN
sequence	NN
and	CC
in	IN
the	DT
natural	JJ
history	NN
of	IN
clinical	JJ
disease	NN
.	.

Consistent	JJ
with	IN
these	DT
differences	NNS
,	,
we	PRP
have	VBP
previously	RB
demonstrated	VBN
that	IN
the	DT
enhancer/promoter	NN
region	NN
of	IN
HIV-2	NN
functions	VBZ
quite	RB
differently	RB
from	IN
that	DT
of	IN
HIV-1	NN
.	.

Whereas	IN
activation	NN
of	IN
the	DT
HIV-1	NN
enhancer	NN
following	VBG
T-cell	NN
stimulation	NN
is	VBZ
mediated	VBN
largely	RB
through	IN
binding	NN
of	IN
the	DT
transcription	NN
factor	NN
NF-kappa	NN
B	NN
to	TO
two	CD
adjacent	JJ
kappa	NN
B	NN
sites	NNS
in	IN
the	DT
HIV-1	NN
long	JJ
terminal	JJ
repeat	NN
,	,
activation	NN
of	IN
the	DT
HIV-2	NN
enhancer	NN
in	IN
monocytes	NNS
and	CC
T	NN
cells	NNS
is	VBZ
dependent	JJ
on	IN
four	CD
cis-acting	JJ
elements	NNS
:	:
a	DT
single	JJ
kappa	NN
B	NN
site	NN
,	,
two	CD
purine-rich	JJ
binding	VBG
sites	NNS
,	,
PuB1	NN
and	CC
PuB2	NN
,	,
and	CC
a	DT
pets	NN
site	NN
.	.

We	PRP
have	VBP
now	RB
identified	VBN
a	DT
novel	JJ
cis-acting	JJ
element	NN
within	IN
the	DT
HIV-2	NN
enhancer	NN
,	,
immediately	RB
upstream	JJ
of	IN
the	DT
kappa	NN
B	NN
site	NN
,	,
designated	VBN
peri-kappa	NN
B	NN
.	.

This	DT
site	NN
is	VBZ
conserved	VBN
among	IN
isolates	NNS
of	IN
HIV-2	NN
and	CC
the	DT
closely	RB
related	JJ
simian	JJ
immunodeficiency	NN
virus	NN
,	,
and	CC
transfection	NN
assays	NNS
show	VBP
this	DT
site	NN
to	TO
mediate	VB
HIV-2	NN
enhancer	NN
activation	NN
following	VBG
stimulation	NN
of	IN
monocytic	JJ
but	CC
not	RB
T-cell	NN
lines	NNS
.	.

This	DT
is	VBZ
the	DT
first	JJ
description	NN
of	IN
an	DT
HIV-2	NN
enhancer	NN
element	NN
which	WDT
displays	VBZ
such	JJ
monocyte	NN
specificity	NN
,	,
and	CC
no	DT
comparable	JJ
enhancer	NN
element	NN
has	VBZ
been	VBN
clearly	RB
defined	VBN
for	IN
HIV-1	NN
.	.

While	IN
a	DT
nuclear	JJ
factor	NN
(	(
s	NNS
)	)
from	IN
both	CC
peripheral	JJ
blood	NN
monocytes	NNS
and	CC
T	NN
cells	NNS
binds	VBZ
the	DT
peri-kappa	NN
B	NN
site	NN
,	,
electrophoretic	JJ
mobility	NN
shift	NN
assays	NNS
suggest	VBP
that	IN
either	CC
a	DT
different	JJ
protein	NN
binds	VBZ
to	TO
this	DT
site	NN
in	IN
monocytes	NNS
versus	CC
T	NN
cells	NNS
or	CC
that	IN
the	DT
protein	NN
recognizing	VBG
this	DT
enhancer	NN
element	NN
undergoes	VBZ
differential	JJ
modification	NN
in	IN
monocytes	NNS
and	CC
T	NN
cells	NNS
,	,
thus	RB
supporting	VBG
the	DT
transfection	NN
data	NNS
.	.

Further	RB
,	,
while	IN
specific	JJ
constitutive	JJ
binding	NN
to	TO
the	DT
peri-kappa	NN
B	NN
site	NN
is	VBZ
seen	VBN
in	IN
monocytes	NNS
,	,
stimulation	NN
with	IN
phorbol	NN
esters	NNS
induces	VBZ
additional	JJ
,	,
specific	JJ
binding	NN
.	.

Understanding	VBG
the	DT
monocyte-specific	JJ
function	NN
of	IN
the	DT
peri-kappa	NN
B	NN
factor	NN
may	MD
ultimately	RB
provide	VB
insight	NN
into	IN
the	DT
different	JJ
role	NN
monocytes	NNS
and	CC
T	NN
cells	NNS
play	VBP
in	IN
HIV	NN
pathogenesis	NN
.	.

UI	LS
-	:
95347379	CD

TI	LS
-	:
Distinct	JJ
signaling	NN
properties	NNS
identify	VBP
functionally	RB
different	JJ
CD4	NN
epitopes	NNS
.	.

